Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T30-G0T4 ,Amoxicillin,Amoxicillin,Amoxicillin,,,30553.0,4/9/2018,
2.0,T30-SJ37 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34102.0,23/9/2018,
3.0,T30-1NNU ,Amoxicillin,Amoxicillin,Amoxicillin,,,33974.0,4/9/2018,
4.0,T30-ZUB1 ,Amoxicillin,Amoxicillin,Amoxicillin,,,30552.0,4/9/2018,
5.0,T30-MC9W ,Amoxicillin,Amoxicillin,Amoxicillin,,,30551.0,4/9/218,
6.0,T30-YMR7 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34103.0,23/9/2018,
7.0,T30-EWL5 ,Amoxicillin,Amoxicillin,Suspicious,,,34088.0,23/9/2018,
8.0,T30-HKLQ ,Amoxicillin,Amoxicillin,Suspicious,,,34096.0,23/9/2018,
9.0,T30-ZLGV ,Amoxicillin,Amoxicillin,Amoxicillin,,,33976.0,4/9/2018,
10.0,T30-9MP5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,30554.0,4/9/2018,
11.0,T30-0JEU ,Amoxicillin,Amoxicillin,Amoxicillin,,,34372.0,22/8/2018,
12.0,T30-2IPS ,Amoxicillin,Amoxicillin,Amoxicillin,,,34083.0,23/9/2018,
13.0,T30-HGWV ,Amoxicillin,Amoxicillin,Amoxicillin,,,34100.0,23/9/2018,
14.0,T30-4FNG ,Amoxicillin,Amoxicillin,Amoxicillin,,,34381.0,22/8/2018,
15.0,T30-PT0T ,Amoxicillin,Amoxicillin,Amoxicillin,,,34380.0,22/8/2018,
16.0,T30-K7SV ,Amoxicillin,Vitamin C,Suspicious,B,,34082.0,23/9/2018,
17.0,T30-JKEI ,Amoxicillin,Vitamin C,Suspicious,B,,34428.0,23/9/2018,
18.0,T30-9HVL ,Amoxicillin,Vitamin C,Suspicious,B,,34097.0,23/9/2018,
19.0,T30-PBRO ,Amoxicillin,Vitamin C,Suspicious,B,,34099.0,23/9/2018,
20.0,T30-7NCY ,Amoxicillin,Vitamin C,Suspicious,B,,31680.0,5/9/2018,
21.0,T30-4CRX ,Amoxicillin,Vitamin C,Suspicious,B,,30606.0,5/9/2018,
22.0,T30-EJG7 ,Amoxicillin,Vitamin C,Suspicious,B,,30607.0,5/9/2018,
23.0,T30-IW66 ,Amoxicillin,Vitamin C,Suspicious,B,,30605.0,5/9/2018,
24.0,T30-YQKS ,Amoxicillin,Vitamin C,Suspicious,B,,34369.0,22/8/2018,
25.0,T30-478C ,Amoxicillin,Cellulose,Suspicious,B,,34371.0,22/8/2018,
26.0,T30-8GW0 ,Amoxicillin,Cellulose,Suspicious,B,,34382.0,22/8/2018,
27.0,T30-1FU0 ,Amoxicillin,Cellulose,Suspicious,B,,34370.0,22/8/2018,
28.0,T30-IIPJ ,Amoxicillin,Cellulose,Suspicious,B,,34383.0,22/8/2018,
29.0,T30-H42P ,Amoxicillin,Cellulose,Suspicious,B,,31678.0,6/9/2018,
30.0,T30-D6XZ ,Amoxicillin,Starch,Suspicious,B,,30556.0,4/9/2018,
31.0,T30-TZFP ,Paracetamol,Paracetamol,Suspicious,K,,30555.0,4/9/2018,
32.0,T30-NSX2 ,Paracetamol,Paracetamol,Paracetamol,,,30547.0,4/9/2018,
33.0,T30-XVFT ,Paracetamol,Paracetamol,Paracetamol,,,35335.0,20/8/2018,
34.0,T30-ZX79 ,Paracetamol,Paracetamol,Paracetamol,,,35402.0,20/8/2018,
35.0,T30-30KL ,Paracetamol,Paracetamol,Paracetamol,,,30550.0,4/9/2018,
36.0,T30-0IJU ,Paracetamol,Paracetamol,Paracetamol,,,35385.0,20/8/2018,
37.0,T30-073L ,Paracetamol,Paracetamol,Paracetamol,,,30549.0,4/9/2018,
38.0,T30-RJI8 ,Paracetamol,Paracetamol,Suspicious,K,,34081.0,23/9/2018,
39.0,T30-11ZO ,Paracetamol,Paracetamol,Paracetamol,,,34430.0,23/9/2018,
40.0,T30-WWHK ,Paracetamol,Paracetamol,Paracetamol,,,30546.0,4/9/2018,
41.0,T30-IL9O ,Paracetamol,Paracetamol,Paracetamol,,,30545.0,4/9/2018,
42.0,T30-P9OE ,Paracetamol,Paracetamol,Paracetamol,,,34429.0,23/9/2018,
43.0,T30-BMWJ ,Paracetamol,Paracetamol,Paracetamol,,,35384.0,20/8/2018,
44.0,T30-JITA ,Paracetamol,Paracetamol,Suspicious,K,,34431.0,23/9/2018,
45.0,T30-56FM ,Paracetamol,Paracetamol,Paracetamol,,,34080.0,23/9/2018,
46.0,T30-0S5T ,Paracetamol,Lactose,Suspicious,K,,34087.0,23/9/2018,
47.0,T30-4MCX ,Paracetamol,Lactose,Paracetamol,,,35403.0,20/8/2018,
48.0,T30-VKJV ,Paracetamol,Lactose,Suspicious,K,,34085.0,23/9/2018,
49.0,T30-RMK8 ,Paracetamol,Lactose,Paracetamol,,,35374.0,20/8/2018,
50.0,T30-V4Z2 ,Paracetamol,Cellulose,Suspicious,K,,35400.0,20/8/2018,
51.0,T30-2QHC ,Paracetamol,Cellulose,Suspicious,K,,34426.0,23/9/2018,
52.0,T30-RNVB ,Paracetamol,Cellulose,Paracetamol,,,30604.0,5/9/2018,
53.0,T30-D8ZR ,Paracetamol,Cellulose,Suspicious,K,,34425.0,23/9/2018,
54.0,T30-MXWZ ,Paracetamol,Cellulose,Suspicious,K,,31667.0,6/9/2018,
55.0,T30-F7NW ,Paracetamol,Cellulose,Suspicious,K,,34427.0,23/9/2018,
56.0,T30-7XH4 ,Paracetamol,Starch,Suspicious,K,Yes,34084.0,23/9/2018,
57.0,T30-6C7R ,Paracetamol,Starch,Suspicious,K,Yes,34086.0,23/9/2018,
58.0,T30-YQUY ,Paracetamol,Starch,Paracetamol Starch,,Yes,30544.0,4/9/2018,
59.0,T30-Q2LL ,Paracetamol,Starch,Suspicious,K,Yes,30548.0,4/9/2018,
60.0,T30-SQLF ,Paracetamol,Paracetamol Starch,Suspicious,K,Yes,35373.0,20/8/2018,
61.0,T30-VOR1 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33981.0,3/9/2018,
62.0,T30-QAMW ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34360.0,21/8/2018,
63.0,T30-KE9R ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34927.0,21/9/2018,
64.0,T30-B615 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33983.0,3/9/2018,
65.0,T30-4NTM ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35390.0,21/8/2018,
66.0,T30-I8D3 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34927.0,21/9/2018,
67.0,T30-QGDT ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33979.0,3/9/2018,
68.0,T30-6JS6 ,Benzyl Penicillin,Benzyl Penicillin,Suspicious,F,,33966.0,4/9/2018,
69.0,T30-8BEP ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33980.0,3/9/2018,
70.0,T30-U8I3 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33978.0,3/9/2018,
71.0,T30-Y5LL ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33967.0,4/9/2018,
72.0,T30-3SVF ,Benzyl Penicillin,Benzyl Penicillin,Suspicious,F,,33960.0,3/9/2018,
73.0,T30-P9NS ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34374.0,21/8/2018,
