Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T34-D6R0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34541.0,5/9/2018,
2.0,T34-5MM5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34523.0,5/9/2018,
3.0,T34-5XA8 ,Amoxicillin,Amoxicillin,Amoxicillin,,,33816.0,16/8/2018,
4.0,T34-VQ3G ,Amoxicillin,Amoxicillin,Amoxicillin,,,34581.0,20/9/2018,
5.0,T34-MEQY ,Amoxicillin,Amoxicillin,Amoxicillin,,,34487.0,5/9/2018,
6.0,T34-TFS0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34607.0,20/9/2018,
7.0,T34-HR79 ,Amoxicillin,Amoxicillin,Amoxicillin,,,33803.0,16/8/2018,
8.0,T34-G8PS ,Amoxicillin,Amoxicillin,Amoxicillin,,,34603.0,20/9/2018,
9.0,T34-H4ZM ,Amoxicillin,Amoxicillin,Amoxicillin,,,34578.0,20/9/2018,
10.0,T34-T382 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34600.0,20/9/2018,
11.0,T34-XNYZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,34582.0,20/9/2018,
12.0,T34-0CAF ,Amoxicillin,Amoxicillin,Amoxicillin,,,34576.0,20/9/2018,
13.0,T34-TIJP ,Amoxicillin,Amoxicillin,Amoxicillin,,,33804.0,16/8/2018,
14.0,T34-JLHV ,Amoxicillin,Amoxicillin,Amoxicillin,,,34582.0,20/9/2018,
15.0,T34-SER2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,33805.0,16/8/2018,
16.0,T34-6KY5 ,Amoxicillin,Paracetamol Starch,Suspicious,B,Yes,34540.0,5/9/2018,
17.0,T34-JEKS ,Amoxicillin,Starch,Suspicious,B,Yes,34486.0,5/9/2018,
18.0,T34-87MA ,Amoxicillin,Starch,Suspicious,B,Yes,34580.0,20/9/2018,
19.0,T34-D0DM ,Amoxicillin,Starch,Suspicious,B,Yes,34542.0,5/9/2018,
20.0,T34-ZMDG ,Amoxicillin,Lactose,Suspicious,B,,34577.0,20/9/2018,
21.0,T34-T5IF ,Amoxicillin,Lactose,Suspicious,B,,33757.0,16/8/2018,
22.0,T34-LWVB ,Amoxicillin,Cellulose,Suspicious,B,,34484.0,5/9/2018,
23.0,T34-OHK0 ,Amoxicillin,Cellulose,Suspicious,B,,33807.0,16/8/2018,
24.0,T34-7PI5 ,Amoxicillin,Vitamin C,Suspicious,B,,33818.0,16/8/2018,
25.0,T34-EN99 ,Amoxicillin,Vitamin C,Suspicious,B,,30745.0,20/9/2018,
26.0,T34-JXS8 ,Amoxicillin,Vitamin C,Suspicious,B,,30746.0,20/9/2018,
27.0,T34-9JMA ,Amoxicillin,Vitamin C,Suspicious,B,,34485.0,5/9/2018,
28.0,T34-0DUP ,Amoxicillin,Vitamin C,Suspicious,B,,34622.0,20/9/2018,
29.0,T34-DW48 ,Amoxicillin,Vitamin C,Suspicious,B,,34601.0,20/9/2018,
30.0,T34-20RO ,Amoxicillin,Vitamin C,Suspicious,B,,33806.0,16/8/2018,
31.0,T34-20ZR ,Paracetamol,Paracetamol,Suspicious,K,,34619.0,17/9/2018,
32.0,T34-Y7TF ,Paracetamol,Paracetamol,Paracetamol,,,34886.0,3/9/2018,
33.0,T34-JX9A ,Paracetamol,Paracetamol,Paracetamol,,,34604.0,17/9/2018,
34.0,T34-8YZM ,Paracetamol,Paracetamol,Paracetamol,,,34905.0,3/9/2018,
35.0,T34-GTK4 ,Paracetamol,Paracetamol,Paracetamol,,,30750.0,21/9/2018,
