Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T40-3SUH ,Amoxicillin,Amoxicillin,Suspicious,B,,32448.0,19/9/2018,
2.0,T40-97DM ,Amoxicillin,Amoxicillin,Suspicious,B,,35275.0,4/9/2018,
3.0,T40-VE6S ,Amoxicillin,Amoxicillin,Suspicious,B,,32450.0,19/9/2018,
4.0,T40-JQ9Q ,Amoxicillin,Amoxicillin,Suspicious,B,,35074.0,4/9/2018,
5.0,T40-5K7K ,Amoxicillin,Amoxicillin,Amoxicillin,,,32449.0,19/9/2018,
6.0,T40-BATA ,Amoxicillin,Amoxicillin,Amoxicillin,,,34977.0,19/8/2018,
7.0,T40-NAC0 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34987.0,19/8/2018,
8.0,T40-7HQN ,Amoxicillin,Amoxicillin,Amoxicillin,,,34995.0,19/8/2018,
9.0,T40-5BTJ ,Amoxicillin,Amoxicillin,Amoxicillin,,,34986.0,19/8/2018,
10.0,T40-91VS ,Amoxicillin,Amoxicillin,Amoxicillin,,,32454.0,19/9/2018,
11.0,T40-6JAZ ,Amoxicillin,Amoxicillin,Suspicious,B,,32451.0,19/9/2018,
12.0,T40-CIUI ,Amoxicillin,Amoxicillin,Amoxicillin,,,34985.0,19/8/2018,
13.0,T40-Y5X6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32453.0,19/9/2018,
14.0,T40-PYFU ,Amoxicillin,Amoxicillin,Suspicious,B,,35075.0,4/9/2018,
15.0,T40-42CC ,Amoxicillin,Amoxicillin,Amoxicillin,,,34976.0,19/8/2018,
16.0,T40-S4H9 ,Amoxicillin,Starch,Suspicious,B,Yes,35073.0,4/9/2018,
17.0,T40-QIMZ ,Amoxicillin,Starch,Suspicious,B,Yes,32495.0,19/9/2018,
18.0,T40-M883 ,Amoxicillin,Paracetamol Starch,Suspicious,B,,34878.0,19/8/2018,
19.0,T40-F8CC ,Amoxicillin,Lactose,Suspicious,B,,32493.0,19/9/2018,
20.0,T40-PGWA ,Amoxicillin,Lactose,Suspicious,B,,35079.0,4/9/2018,
21.0,T40-MG13 ,Amoxicillin,Lactose,Suspicious,B,,35078.0,4/9/2018,
22.0,T40-X824 ,Amoxicillin,Lactose,Suspicious,B,,34873.0,19/8/2018,
23.0,T40-CIDM ,Amoxicillin,Cellulose,Suspicious,B,,34879.0,19/8/2018,
24.0,T40-7FQX ,Amoxicillin,Vitamin C,Suspicious,B,,32494.0,19/9/2018,
25.0,T40-DCM8 ,Amoxicillin,Vitamin C,Suspicious,B,,35072.0,4/9/2018,
26.0,T40-HZRU ,Amoxicillin,Vitamin C,Suspicious,B,,34978.0,19/8/2018,
27.0,T40-7CON ,Amoxicillin,Vitamin C,Suspicious,B,,34872.0,19/8/2018,
28.0,T40-GERX ,Amoxicillin,Vitamin C,Suspicious,B,,35239.0,4/9/2018,
29.0,T40-CTQB ,Amoxicillin,Vitamin C,Suspicious,B,,32492.0,19/9/2018,
30.0,T40-CW7W ,Amoxicillin,Vitamin C,Suspicious,B,,32504.0,19/9/2018,
31.0,T40-LF5B ,Paracetamol,Paracetamol,Paracetamol,,,34876.0,21/8/2018,
32.0,T40-AARH ,Paracetamol,Paracetamol,Paracetamol,,,32464.0,22/9/2018,
33.0,T40-QN3D ,Paracetamol,Paracetamol,Paracetamol,,,32088.0,22/9/2018,
34.0,T40-FEEV ,Paracetamol,Paracetamol,Paracetamol,,,32467.0,22/9/2018,
35.0,T40-LARH ,Paracetamol,Paracetamol,Paracetamol,,,35235.0,5/9/2018,
36.0,T40-2KPA ,Paracetamol,Paracetamol,Paracetamol,,,34999.0,21/8/2018,
37.0,T40-L8OO ,Paracetamol,Paracetamol,Paracetamol,,,34992.0,21/8/2018,
