Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T32-9J6Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,35022.0,4/9/2018,
2.0,T32-BIJW ,Amoxicillin,Amoxicillin,Amoxicillin,,,36229.0,10/9/2018,
3.0,T32-Q92I ,Amoxicillin,Amoxicillin,Amoxicillin,,,34750.0,10/9/2018,
4.0,T32-XADZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,32590.0,4/9/2018,
5.0,T32-4EEZ ,Amoxicillin,Amoxicillin,Amoxicillin,,,36308.0,10/9/2018,
6.0,T32-RFVO ,Amoxicillin,Amoxicillin,Amoxicillin,,,35114.0,10/9/2018,
7.0,T32-H0TM ,Amoxicillin,Amoxicillin,Amoxicillin,,,36299.0,10/9/2018,
8.0,T32-QPVY ,Amoxicillin,Amoxicillin,Amoxicillin,,,34298.0,10/9/2018,
9.0,T32-JLF3 ,Amoxicillin,Amoxicillin,Amoxicillin,,,35113.0,10/9/2018,
10.0,T32-C5RD ,Amoxicillin,Amoxicillin,Amoxicillin,,,34296.0,10/9/2018,
11.0,T32-5RMF ,Amoxicillin,Amoxicillin,Amoxicillin,,,34744.0,22/8/2018,
12.0,T32-IOT4 ,Amoxicillin,Amoxicillin,Amoxicillin,,,36230.0,10/9/2018,
13.0,T32-PYAQ ,Amoxicillin,Amoxicillin,Amoxicillin,,,34297.0,10/9/2018,
14.0,T32-SW4L ,Amoxicillin,Amoxicillin,Amoxicillin,,,36225.0,10/9/2018,
15.0,T32-0C95 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34745.0,22/8/2018,
16.0,T32-PP2W ,Amoxicillin,Paracetamol Starch,Suspicious,B,,34751.0,22/8/2018,
17.0,T32-OT77 ,Amoxicillin,Starch,Suspicious,B,Yes,35115.0,10/9/2018,
18.0,T32-9MZZ ,Amoxicillin,Starch,Suspicious,B,Yes,36228.0,10/9/2018,
19.0,T32-9PWF ,Amoxicillin,Starch,Suspicious,B,Yes,35112.0,10/9/2018,
20.0,T32-MFTZ ,Amoxicillin,Starch,Suspicious,B,Yes,36231.0,10/9/2018,
21.0,T32-ZAQZ ,Amoxicillin,Cellulose,Suspicious,B,,36211.0,10/9/2018,
22.0,T32-TUK2 ,Amoxicillin,Lactose,Suspicious,B,,36224.0,10/9/2018,
23.0,T32-8R0N ,Amoxicillin,Lactose,Suspicious,B,,30032.0,4/9/2018,
24.0,T32-H17C ,Amoxicillin,Vitamin C,Suspicious,B,,35130.0,22/8/2018,
25.0,T32-7T4V ,Amoxicillin,Vitamin C,Suspicious,B,,36213.0,10/9/2018,
26.0,T32-W444 ,Amoxicillin,Vitamin C,Suspicious,B,,39133.0,10/9/2018,
27.0,T32-T2C1 ,Amoxicillin,Vitamin C,Suspicious,B,,34265.0,22/8/2018,
28.0,T32-GFY3 ,Amoxicillin,Vitamin C,Suspicious,B,,30033.0,4/9/2018,
29.0,T32-3O00 ,Amoxicillin,Vitamin C,Suspicious,B,,34204.0,10/9/2018,
30.0,T32-C7T2 ,Amoxicillin,Vitamin C,Suspicious,B,,32276.0,4/9/2018,
31.0,T32-H2R6 ,Paracetamol,Paracetamol,Paracetamol,,,35013.0,4/9/2018,
32.0,T32-UD6D ,Paracetamol,Paracetamol,Paracetamol,,,32432.0,18/8/2018,
33.0,T32-5ZCD ,Paracetamol,Paracetamol,Paracetamol,,,35012.0,4/9/2018,
34.0,T32-0KUI ,Paracetamol,Paracetamol,Suspicious,K,,34290.0,10/9/2018,
35.0,T32-O91W ,Paracetamol,Paracetamol,Suspicious,K,,34294.0,10/9/2018,
36.0,T32-0YR4 ,Paracetamol,Paracetamol,Paracetamol,,,36209.0,10/9/2018,
37.0,T32-K1DG ,Paracetamol,Paracetamol,Paracetamol,,,36214.0,10/9/2018,
38.0,T32-B6VJ ,Paracetamol,Paracetamol,Paracetamol,,,36215.0,10/9/2018,
39.0,T32-6RYH ,Paracetamol,Paracetamol,Paracetamol,,,32911.0,18/8/2018,
40.0,T32-XPEW ,Paracetamol,Paracetamol,Suspicious,K,,34293.0,10/9/2018,
41.0,T32-GOOM ,Paracetamol,Paracetamol,Paracetamol,,,36309.0,10/9/2018,
42.0,T32-K0UR ,Paracetamol,Paracetamol,Paracetamol,,,36208.0,10/9/2018,
43.0,T32-0VPO ,Paracetamol,Paracetamol,Paracetamol,,,35000.0,4/9/2018,
44.0,T32-X62S ,Paracetamol,Paracetamol,Paracetamol,,,35002.0,4/9/2018,
45.0,T32-JEXR ,Paracetamol,Paracetamol,Paracetamol,,,32908.0,18/8/2018,
46.0,T32-HUQO ,Paracetamol,Paracetamol,Paracetamol,,,35189.0,4/9/2018,
47.0,T32-A7IZ ,Paracetamol,Starch,Suspicious,K,Yes,34289.0,10/9/2018,
48.0,T32-1H6P ,Paracetamol,Starch,Suspicious,K,Yes,34291.0,10/9/2018,
49.0,T32-7RUS ,Paracetamol,Starch,Suspicious,K,Yes,34295.0,10/9/2018,
50.0,T32-ABVY ,Paracetamol,Starch,Paracetamol Starch,,Yes,32581.0,18/8/2018,
51.0,T32-XQ2W ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32910.0,18/8/2018,
52.0,T32-TETZ ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,36212.0,10/9/2018,
53.0,T32-4219 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32433.0,18/8/2018,
54.0,T32-KMZE ,Paracetamol,Vitamin C,Suspicious,K,,36296.0,4/9/2018,
55.0,T32-0DFT ,Paracetamol,Vitamin C,Suspicious,K,,29882.0,4/9/2018,
56.0,T32-8T3E ,Paracetamol,Vitamin C,Suspicious,K,,36306.0,10/9/2018,
57.0,T32-VEBH ,Paracetamol,Vitamin C,Suspicious,K,,36307.0,10/9/2018,
58.0,T32-WHPE ,Paracetamol,Vitamin C,Suspicious,K,,29881.0,4/9/2018,
59.0,T32-AOQ5 ,Paracetamol,Cellulose,Suspicious,K,,36297.0,4/9/2018,
60.0,T32-CLQP ,Paracetamol,Cellulose,Paracetamol,,,36298.0,4/9/2018,
61.0,T32-BO5N ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35004.0,4/9/2018,
62.0,T32-8RBZ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,30026.0,18/8/2018,
63.0,T32-W0HL ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35129.0,4/9/2018,
64.0,T32-E7VN ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35018.0,4/9/2018,
65.0,T32-GRFL ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35023.0,4/9/2018,
66.0,T32-M2P6 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,34266.0,11/9/2018,
67.0,T32-5DN6 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35019.0,4/9/2018,
68.0,T32-4JZ5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35128.0,4/9/2018,
69.0,T32-XQGH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,32588.0,4/9/2018,
70.0,T32-X7JZ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,30027.0,18/8/2018,
71.0,T32-LOVH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,30017.0,18/8/2018,
72.0,T32-2GAH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,30029.0,18/8/2018,
73.0,T32-CP65 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35031.0,4/9/2018,
74.0,T32-2JGC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,30025.0,18/8/2018,
75.0,T32-QNTX ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicllin,,,35017.0,4/9/2018,
76.0,T32-CZYG ,Benzyl Penicillin,Penicillin Procaine,Suspicious,F,,34299.0,11/9/2018,
77.0,T32-SM0O ,Benzyl Penicillin,Lactose,Suspicious,F,,35187.0,4/9/2018,
78.0,T32-GBY3 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34811.0,22/8/2018,
79.0,T32-IWHA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32277.0,4/9/2018,
80.0,T32-GYEN ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34288.0,11/9/2018,
81.0,T32-H18V ,Benzyl Penicillin,Vitamin C,Suspicious,F,,29880.0,4/9/2018,
82.0,T32-69FX ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34808.0,22/8/2018,
83.0,T32-KQKA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32275.0,4/9/2018,
84.0,T32-A82I ,Benzyl Penicillin,Cellulose,Suspicious,F,,32272.0,4/9/2018,
85.0,T32-LH2B ,Benzyl Penicillin,Cellulose,Suspicious,F,,29885.0,4/9/2018,
86.0,T32-XYDO ,Benzyl Penicillin,Cellulose,Suspicious,F,,34810.0,22/8/2018,
87.0,T32-5AP4 ,Benzyl Penicillin,Paracetamol Starch,Suspicious,F,,34748.0,10/9/2018,
88.0,T32-9UE6 ,Benzyl Penicillin,Starch,Suspicious,F,Yes,30024.0,18/8/2018,
89.0,T32-K7UF ,Benzyl Penicillin,Starch,Suspicious,F,Yes,35186.0,4/9/2018,
90.0,T32-K79Y ,Benzyl Penicillin,Starch,Suspicious,F,Yes,30028.0,18/8/2018,
91.0,T32-2LDR ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32438.0,20/8/2018,
92.0,T32-KHS8 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,35190.0,4/9/2018,
93.0,T32-7202 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32435.0,20/8/2018,
94.0,T32-SXQO ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32436.0,20/8/2018,
95.0,T32-8BZO ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,35191.0,4/9/2018,
96.0,T32-JTNO ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,35011.0,4/9/2018,
