Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T35-RH5Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,35571.0,19/8/2018,
2.0,T35-1A76 ,Amoxicillin,Amoxicillin,Amoxicillin,,,36254.0,5/9/2018,
3.0,T35-1K6R ,Amoxicillin,Amoxicillin,Amoxicillin,,,31978.0,12/9/2018,
4.0,T35-1WDC ,Amoxicillin,Amoxicillin,Suspicious,B,,36241.0,2/9/2018,
5.0,T35-XJN6 ,Amoxicillin,Amoxicillin,Amoxicillin,,,35578.0,19/8/2018,
6.0,T35-8UGH ,Amoxicillin,Amoxicillin,Amoxicillin,,,31987.0,10/9/2018,
7.0,T35-YYYP ,Amoxicillin,Amoxicillin,Amoxicillin,,,31982.0,12/9/2018,
8.0,T35-TU0B ,Amoxicillin,Amoxicillin,Amoxicillin,,,32646.0,13/9/2018,
9.0,T35-SC9Y ,Amoxicillin,Amoxicillin,Amoxicillin,,,35575.0,19/8/2018,
10.0,T35-PGHE ,Amoxicillin,Amoxicillin,Amoxicillin,,,31934.0,12/9/2018,
11.0,T35-ZKC3 ,Amoxicillin,Amoxicillin,Amoxicillin,,,30245.0,19/8/2018,
12.0,T35-TMZ9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,35574.0,19/8/2018,
13.0,T35-JLVL ,Amoxicillin,Amoxicillin,Amoxicillin,,,31985.0,10/9/2018,
14.0,T35-KE5G ,Amoxicillin,Amoxicillin,Amoxicillin,,,35585.0,19/8/2018,
15.0,T35-HIR2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,31932.0,10/9/2018,
16.0,T35-Q8Z9 ,Amoxicillin,Lactose,Suspicious,B,,36259.0,30/8/2018,
17.0,T35-AK3V ,Amoxicillin,Lactose,Suspicious,B,,31990.0,10/9/2018,
18.0,T35-6TFK ,Amoxicillin,Lactose,Suspicious,B,,30312.0,20/8/2018,
19.0,T35-3G8B ,Amoxicillin,Lactose,Suspicious,B,,32640.0,13/9/2018,
20.0,T35-SU9S ,Amoxicillin,Starch,Suspicious,B,,35589.0,19/8/2018,
21.0,T35-6TZ8 ,Amoxicillin,Cellulose,Suspicious,B,,30325.0,21/8/2018,
22.0,T35-XQDQ ,Amoxicillin,Cellulose,Suspicious,B,,30253.0,21/8/2018,
23.0,T35-P52R ,Amoxicillin,Vitamin C,Suspicious,B,,30240.0,20/8/2018,
24.0,T35-Z0KV ,Amoxicillin,Vitamin C,Suspicious,B,,32641.0,13/9/2018,
25.0,T35-WOAL ,Amoxicillin,Vitamin C,Suspicious,B,,32771.0,13/9/2018,
26.0,T35-33IB ,Amoxicillin,Vitamin C,Suspicious,B,,32595.0,17/9/2018,
27.0,T35-2HWG ,Amoxicillin,Vitamin C,Suspicious,B,,32598.0,13/9/2018,
28.0,T35-ZHPR ,Amoxicillin,Vitamin C,Suspicious,B,,32643.0,17/9/2018,
29.0,T35-DLW0 ,Amoxicillin,Vitamin C,Suspicious,B,,32757.0,7/9/2018,
30.0,T35-RU21 ,Amoxicillin,Vitamin C,Suspicious,B,,32592.0,17/9/2018,
31.0,T35-Z7MB ,Paracetamol,Paracetamol,Suspicious,K,,32728.0,6/9/2018,
32.0,T35-KAHS ,Paracetamol,Paracetamol,Paracetamol,,,31976.0,12/9/2018,
33.0,T35-7LFR ,Paracetamol,Paracetamol,Paracetamol,,,36263.0,5/9/2018,
34.0,T35-HAW8 ,Paracetamol,Paracetamol,Paracetamol,,,31935.0,12/9/2018,
35.0,T35-E8TV ,Paracetamol,Paracetamol,Paracetamol,,,36261.0,2/9/2018,
36.0,T35-J735 ,Paracetamol,Paracetamol,Paracetamol,,,32328.0,12/9/2018,
37.0,T35-6IW9 ,Paracetamol,Paracetamol,Paracetamol,,,30322.0,19/8/2018,
38.0,T35-F9KB ,Paracetamol,Paracetamol,Paracetamol,,,35584.0,19/8/2018,
39.0,T35-WTG2 ,Paracetamol,Paracetamol,Paracetamol,,,31979.0,12/9/2018,
40.0,T35-ZF17 ,Paracetamol,Paracetamol,Paracetamol,,,30248.0,20/8/2018,
41.0,T35-7D6O ,Paracetamol,Paracetamol,Paracetamol,,,35590.0,19/8/2018,Lane L-grey
42.0,T35-MV6Z ,Paracetamol,Paracetamol,Paracetamol,,,36245.0,30/8/2018,
43.0,T35-LXML ,Paracetamol,Paracetamol,Paracetamol,,,35573.0,19/8/2018,
44.0,T35-LRHW ,Paracetamol,Paracetamol,Paracetamol,,,35577.0,19/8/2018,
45.0,T35-42KK ,Paracetamol,Paracetamol,Paracetamol,,,31933.0,12/9/2018,
46.0,T35-GZD7 ,Paracetamol,Paracetamol,Paracetamol,,,31988.0,10/9/2018,
47.0,T35-10BO ,Paracetamol,Lactose,Paracetamol,,,32825.0,6/9/2018,
48.0,T35-02ED ,Paracetamol,Lactose,Suspicious,K,,31984.0,12/9/2018,
49.0,T35-XTT9 ,Paracetamol,Lactose,Paracetamol,,,35827.0,12/8/2018,
50.0,T35-XY6L ,Paracetamol,Starch,Paracetamol,,,36262.0,5/9/2018,
51.0,T35-QZWB ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,31991.0,12/9/2018,
52.0,T35-O6XX ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32331.0,13/9/2018,
53.0,T35-HLMI ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,36263.0,5/9/2018,
54.0,T35-XP0P ,Paracetamol,Vitamin C,Paracetamol,,,30320.0,21/8/2018,
55.0,T35-WD00 ,Paracetamol,Vitamin C,Paracetamol,,,32599.0,17/9/2018,
56.0,T35-8UFY ,Paracetamol,Vitamin C,Paracetamol,,,32596.0,17/9/2018,
57.0,T35-NKVW ,Paracetamol,Vitamin C,Paracetamol,,,32647.0,17/9/2018,
58.0,T35-IXX6 ,Paracetamol,Vitamin C,Paracetamol,,,32597.0,17/9/2018,
59.0,T35-C8W3 ,Paracetamol,Vitamin C,Paracetamol,,,30326.0,21/8/2018,
60.0,T35-JL9K ,Paracetamol,Vitamin C,Paracetamol,,,30250.0,20/8/2018,
61.0,T35-9JGR ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32829.0,6/9/2018,
62.0,T35-RRWW ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,31930.0,10/9/2018,
63.0,T35-PY36 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,31977.0,12/9/2018,
64.0,T35-TSNB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,31928.0,10/9/2018,
65.0,T35-S4FF ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35833.0,19/8/2018,
66.0,T35-I2EE ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32830.0,6/9/2018,
67.0,T35-QWNI ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32645.0,13/9/2018,
68.0,T35-DBZ5 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35619.0,19/8/2018,Lane D-blue
69.0,T35-RRPZ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32731.0,5/9/2018,
70.0,T35-AGOZ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,31986.0,12/9/2018,
71.0,T35-L8MI ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35826.0,12/8/2018,Lane D-blue
72.0,T35-1DC6 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,36256.0,2/9/2018,
73.0,T35-QL3W ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,36258.0,30/8/2018,
74.0,T35-FJ5K ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,31989.0,10/9/2018,
75.0,T35-HK3E ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,36246.0,2/9/2018,
76.0,T35-4L6U ,Benzyl Penicillin,Lactose,Suspicious,F,,35586.0,19/8/2018,
77.0,T35-BXW3 ,Benzyl Penicillin,Lactose,Suspicious,F,,31931.0,10/9/2018,
78.0,T35-KEDT ,Benzyl Penicillin,Lactose,Suspicious,F,,31929.0,10/9/2018,
79.0,T35-XY4H ,Benzyl Penicillin,Lactose,Suspicious,F,,31981.0,12/9/2018,
80.0,T35-6YSX ,Benzyl Penicillin,Cellulose,Suspicious,F,,32594.0,17/9/2018,
81.0,T35-ZGML ,Benzyl Penicillin,Cellulose,Suspicious,F,,30321.0,23/8/2018,
82.0,T35-YGLT ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32593.0,17/9/2018,
83.0,T35-QF09 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32768.0,13/9/2018,
84.0,T35-4DFY ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32332.0,13/9/2018,
85.0,T35-18OA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32769.0,13/9/2018,
86.0,T35-3R28 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,30254.0,21/8/2018,
87.0,T35-6DWN ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32772.0,13/9/2018,
88.0,T35-VU7Y ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32828.0,7/9/2018,
89.0,T35-E3I8 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32642.0,13/9/2018,
90.0,T35-N0TJ ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32644.0,13/9/2018,
91.0,T35-AC1V ,Penicillin Procaine,Penicillin Procaine,Suspicious,,,30246.0,20/8/2018,
92.0,T35-9MBS ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,36260.0,30/8/2018,
93.0,T35-IEOP ,Penicillin Procaine,Penicillin Procaine,Suspicious,,,32329.0,13/9/2018,
94.0,T35-P5Q7 ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,36240.0,2/9/2018,
95.0,T35-CCRI ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,30244.0,19/8/2018,
96.0,T35-7PQG ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,32733.0,5/9/2018,
97.0,T35-Y2NN ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,36243.0,2/9/2018,
98.0,T35-VRPG ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,35572.0,19/8/2018,
99.0,T35-KCPX ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,35569.0,12/8/2018,
100.0,T35-E0S6 ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,35588.0,19/8/2018,
101.0,T35-8N3K ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,30243.0,20/8/2018,
102.0,T35-X3E1 ,Penicillin Procaine,Penicillin Procaine,Suspicious,,,32824.0,6/9/2018,
103.0,T35-RQ79 ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,35755.0,19/8/2018,
104.0,T35-JY0C ,Penicillin Procaine,Penicillin Procaine,Penicllin Procaine,,,35834.0,19/8/2018,
105.0,T35-197D ,Penicillin Procaine,Penicillin Procaine,Suspicious,,,32739.0,5/9/2018,
106.0,T35-KATF ,Penicillin Procaine,Penicillin Procaine,Suspicious,,,31980.0,12/9/2018,
107.0,T35-D9WR ,Penicillin Procaine,Benzyl Penicillin,Suspicious,D,,35579.0,19/8/2018,
108.0,T35-A61L ,Penicillin Procaine,Lactose,Suspicious,D,,36248.0,30/8/2018,
109.0,T35-HRK1 ,Penicillin Procaine,Lactose,Suspicious,D,,35832.0,12/8/2018,Lane J-black
110.0,T35-NLGM ,Penicillin Procaine,Starch,Suspicious,D,Yes,36249.0,2/9/2018,
111.0,T35-Q505 ,Penicillin Procaine,Starch,Suspicious,D,,32735.0,6/9/2018,
112.0,T35-CAJD ,Penicillin Procaine,Starch,Suspicious,D,,32729.0,7/9/2018,
113.0,T35-OK1X ,Penicillin Procaine,Vitamin C,Suspicious,D,,32758.0,7/9/208,
114.0,T35-RXAD ,Penicillin Procaine,Vitamin C,Suspicious,D,,30251.0,20/8/2018,
115.0,T35-36ZR ,Penicillin Procaine,Vitamin C,Suspicious,D,,36268.0,23/8/2018,
116.0,T35-G0YJ ,Penicillin Procaine,Vitamin C,Suspicious,D,,32753.0,7/9/2018,
117.0,T35-0V7V ,Penicillin Procaine,Vitamin C,Suspicious,D,,32756.0,6/9/2018,
118.0,T35-P2L9 ,Penicillin Procaine,Vitamin C,Suspicious,D,,32827.0,7/9/2018,
119.0,T35-N5LG ,Penicillin Procaine,Vitamin C,Suspicious,D,,32759.0,7/9/2018,
120.0,T35-S58O ,Penicillin Procaine,Vitamin C,Suspicious,D,,30242.0,21/8/2018,
121.0,T35-NZT5 ,Quinine ,Quinine ,Quinine,,,32826.0,6/9/2018,
122.0,T35-Q99L ,Quinine ,Quinine ,Quinine,,,35568.0,19/8/2018,
123.0,T35-MK8I ,Quinine ,Quinine ,Quinine,,,32730.0,5/9/2018,
124.0,T35-LLAO ,Quinine ,Quinine ,Quinine,,,32734.0,6/9/2018,
125.0,T35-UVFW ,Quinine ,Quinine ,Quinine,,,36250.0,30/8/2018,
126.0,T35-MSAL ,Quinine ,Quinine ,Quinine,,,32752.0,6/9/2018,
127.0,T35-VLRQ ,Quinine ,Quinine ,Quinine,,,36247.0,2/9/2018,
128.0,T35-TH5L ,Quinine ,Quinine ,Quinine,,,36244.0,30/8/2018,
129.0,T35-CBAP ,Quinine ,Quinine ,Suspicious,D,,32743.0,5/9/2018,
130.0,T35-S7NR ,Quinine ,Quinine ,Suspicious,D,,31983.0,12/9/2018,
131.0,T35-NPI9 ,Quinine ,Quinine ,Suspicious,D,,32732.0,5/9/2018,
132.0,T35-G4Y2 ,Quinine ,Quinine ,Quinine,,,36251.0,30/8/2018,
133.0,T35-TC75 ,Quinine ,Quinine ,Quinine,,,35587.0,19/8/2018,
134.0,T35-PJQ2 ,Quinine ,Quinine ,Quinine,,,36242.0,2/9/2018,
135.0,T35-U93I ,Quinine ,Quinine ,Quinine,,,30252.0,19/8/2018,
136.0,T35-N7T7 ,Quinine ,Starch,Quinine,,,36252.0,2/9/2018,
137.0,T35-X68I ,Quinine ,Starch,Suspicious,D,,36257.0,30/8/2018,
138.0,T35-D77E ,Quinine ,Lactose,Suspicious,D,,36255.0,30/8/2018,
139.0,T35-NMBY ,Quinine ,Lactose,Suspicious,D,,35595.0,12/8/2018,
140.0,T35-LXFS ,Quinine ,Lactose,Suspicious,D,,30249.0,19/8/2018,
